video_id,timestamp,dimensions_height,dimensions_width,video_duration,view_count,likes_count,comments_count,popularity,alternative_medicine,climate_change,covid,election,gmo,health,russia_ukraine,vaccine,tempo,loudness,spec_centroid,brightness,saturation,entropy,warmness,shotc_ps,shotd_ps,facec_ps,faced_ps,face_age_avg,face_female,face_size,face_anger_avg,face_disgust_avg,face_fear_avg,face_happiness_avg,face_sadness_avg,face_surprise_avg,n_evaluation,predicted_msv,perceived_msv,perceived_msv_high_ss,perceived_msv_low_ss,perceived_msv_high_age,perceived_msv_low_age,engagement,survey_batch_id,unique,powerful_impact,goosebump,novel,emotional,exciting,strong_visual,creative,graphic,arousing,unusual,involving,intense,strong_soundtrack,dramatic,stimulating,strong_soundeffect
531,2022-11-26T18:20:44Z,1333,750,53.128,245834,9938.0,293,popular,0,0,1,0,0,0,0,0,143.5546875,0.073089905,1832.842072,51.38933742,48.48597744,6.581705714,0.200345301,0.075289866,0.249240819,0.338804397,0.097876826,29.2875,0.125,0.038641407,2.4855125,4.37485,11.4110375,14.447425,8.5961625,17.4003875,8,3.497085153,2.470588235,3.568627451,1.811764706,4.352941176,2.201680672,25.6065,4_36,2.625,2.25,1.25,2.875,2.0,3.125,3.125,2.75,2.75,2.125,2.375,2.75,2.25,2.0,2.25,2.625,2.875
534,2022-09-30T14:59:39Z,1920,1080,32.066,3602802,76456.0,776,popular,1,0,1,0,0,0,0,0,135.9991776,0.130050629,1693.237172,112.1273585,58.8636646,6.795017049,0.241478034,0.218299757,0.141820584,0.467785193,0.051560323,32.4,0.28,0.015693856,2.2512,5.6972,1.6488,32.21824,3.79312,7.3872,8,3.900461602,4.647058824,4.37254902,4.811764706,4.811764706,4.37254902,368.0034,4_39,4.5,4.5,3.125,3.625,4.0,4.625,5.375,5.875,4.625,3.625,4.125,4.875,5.625,5.625,5.5,4.625,4.75
537,2022-08-22T07:10:17Z,1920,1080,39.666,557176,34295.0,836,popular,0,1,0,0,0,0,0,1,107.6660156,0.033919096,1331.217339,92.58840314,47.52020101,6.496531108,0.234584593,0.252105077,0.099161332,0.151263046,0.056723642,38.3,0.2,0.017571235,5.5681,3.3142,8.7952,10.6768,10.8766,4.5863,10,3.990982969,3.982352941,3.514705882,4.294117647,4.220588235,3.823529412,59.2307,4_41,4.4,4.4,3.0,3.8,4.0,3.6,5.2,4.0,4.4,3.6,4.1,4.0,4.5,3.4,3.9,4.0,3.4
542,2022-03-14T19:06:00Z,1333,750,42.6,104845,12082.0,243,popular,0,0,0,1,0,0,0,0,117.4538352,0.072448403,1353.981346,224.7503068,21.62244131,3.114391474,0.022179512,0.093896714,0.249217518,0.14084507,0.27856025,26.96666667,0.0,0.007955714,0.913166667,2.370166667,12.04005,64.47596667,12.46133333,1.393866667,9,3.545450087,4.496732026,4.058823529,4.847058824,4.470588235,4.588235294,11.717,4_46,5.333333333,4.0,3.555555556,5.222222222,4.0,4.777777778,5.222222222,5.555555556,4.0,3.888888889,5.333333333,3.555555556,5.222222222,4.333333333,5.111111111,3.666666667,3.666666667
559,2022-12-07T02:05:05Z,1920,1080,59.414,700,87.0,0,popular,0,0,0,0,1,0,0,0,135.9991776,0.064012706,2703.541879,182.5227663,110.7012121,6.779774679,0.22080419,0.504931498,0.032745741,0.0,0.0,34.0,1.0,,51.452,1.244,0.375,1.37,35.432,5.158,8,4.130008978,4.757352941,4.725490196,4.852941176,4.505882353,5.176470588,0.0787,4_61,5.625,5.125,4.25,4.625,3.875,5.375,5.125,5.125,4.0,4.0,3.875,5.375,5.0,5.25,4.0,4.75,5.5
566,2022-06-09T11:39:34Z,1333,750,56.633,1038739,160321.0,1737,popular,0,1,0,0,0,0,1,0,99.38401442,1.77e-05,2206.811921,98.91667827,58.59109155,7.419440927,0.392813413,0.052972648,0.332746702,0.300178341,0.045494157,30.64864865,0.810810811,0.057208979,8.625783784,11.17794595,1.594702703,19.46808108,7.160351351,16.58459459,8,3.644459786,4.742647059,5.078431373,4.541176471,4.752941176,4.725490196,120.0797,4_68,5.25,4.75,2.375,4.75,4.875,4.375,4.5,4.5,5.0,3.875,5.625,5.125,5.875,4.5,6.25,4.625,4.375
582,2021-12-21T22:47:38Z,1333,750,60.0,2115659,196373.0,351,popular,0,0,0,0,0,0,1,0,89.10290948,0.010240109,2421.500398,112.2685068,89.845,7.465789293,0.282961838,0.133333333,0.124444442,0.616666667,0.09036036,27.42564103,0.307692308,0.031924161,1.03074359,1.070297436,1.052010256,40.98449231,2.651641026,33.33097949,9,3.544208057,3.058823529,3.235294118,2.838235294,3.352941176,2.470588235,231.2383,4_82,2.777777778,2.888888889,2.555555556,2.888888889,3.0,3.333333333,3.111111111,3.444444444,3.0,3.333333333,3.444444444,3.777777778,2.777777778,3.111111111,3.333333333,2.555555556,2.666666667
609,2021-11-24T03:19:03Z,1333,750,22.666,8201,1391.0,15,unpopular,0,0,1,0,0,0,0,0,117.4538352,2.68e-11,2908.539614,89.29794686,141.645,6.146437654,0.18604278,0.308832613,0.141390705,0.66178417,0.105003088,29.78125,0.21875,0.165771266,0.4601875,2.73203125,8.92275,20.29540625,6.3661875,8.3341875,8,3.5546715,3.242647059,4.5,2.823529412,3.102941176,3.382352941,0.9607,5_106,3.375,3.0,2.25,3.375,2.75,3.625,3.875,3.75,3.875,2.875,3.25,2.75,3.0,2.875,4.125,3.625,2.75
624,2022-08-29T19:08:17Z,1920,1080,29.766,1731758,71794.0,2186,popular,0,0,1,0,1,0,0,1,112.3471467,0.125900224,998.6599157,55.28217837,91.10832215,5.671839372,0.210505828,0.302358395,0.109993755,0.335953773,0.093731103,52.07407407,0.037037037,0.074228398,12.7472963,0.090259259,0.600259259,33.21055556,0.278740741,0.919407407,8,3.959562523,4.485294118,5.019607843,4.164705882,4.147058824,4.823529412,180.5738,5_12,3.5,5.25,2.5,4.625,5.5,4.25,4.875,3.5,4.25,2.875,4.625,4.625,5.5,5.75,5.375,4.75,4.5
643,2022-07-21T18:34:02Z,1920,1080,21.333,383048,31792.0,2822,popular,0,0,1,0,0,0,0,0,184.5703125,0.009963952,1154.736544,96.44747246,85.93588785,7.437550694,0.022536881,0.046875732,0.998453101,0.046875732,0.998453101,72.13636364,0.0,0.061120004,0.566590909,5.328727273,0.503045455,19.1475,17.61981818,0.637227273,9,3.059298558,2.477124183,1.941176471,2.745098039,3.235294118,2.382352941,41.7662,5_29,3.444444444,3.333333333,1.444444444,3.222222222,2.666666667,2.333333333,3.555555556,2.444444444,2.222222222,2.111111111,2.333333333,2.444444444,2.0,2.222222222,2.444444444,2.0,1.888888889
