participant_id,video_id,perceived_msv,age,gender,race,education,income,sen_seek,video_order,gender_female,race_white,survey_batch_id,unique,powerful_impact,goosebump,novel,emotional,exciting,strong_visual,creative,graphic,arousing,unusual,involving,intense,strong_soundtrack,dramatic,stimulating,strong_soundeffect
25,84,4.588235294,51,Female,White or Caucasian,4.0,3.0,2.25,8,Yes,Yes,1_66,4.0,7.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0,7.0,3.0,5.0,7.0,1.0,1.0,2.0,1.0
26,40,1.882352941,34,Female,White or Caucasian,5.0,5.0,3.125,5,Yes,Yes,1_26,4.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
26,89,3.647058824,34,Female,White or Caucasian,5.0,5.0,3.125,7,Yes,Yes,1_70,1.0,3.0,1.0,5.0,7.0,7.0,1.0,2.0,7.0,5.0,5.0,1.0,7.0,1.0,7.0,1.0,1.0
26,120,3.588235294,34,Female,White or Caucasian,5.0,5.0,3.125,8,Yes,Yes,1_99,5.0,2.0,1.0,5.0,3.0,3.0,5.0,6.0,2.0,2.0,3.0,2.0,1.0,6.0,5.0,5.0,5.0
28,89,2.058823529,45,Male,White or Caucasian,5.0,2.0,3.0,7,No,Yes,1_70,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0
29,72,2.352941176,47,Male,White or Caucasian,4.0,2.0,1.875,1,No,Yes,1_55,7.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0
29,120,4.352941176,47,Male,White or Caucasian,4.0,2.0,1.875,7,No,Yes,1_99,5.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,7.0,5.0,4.0,5.0
30,111,1.764705882,25,Female,White or Caucasian,5.0,3.0,2.0,8,Yes,Yes,1_90,2.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
30,8,2.117647059,25,Female,White or Caucasian,5.0,3.0,2.0,10,Yes,Yes,1_105,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,3.0
32,40,1.823529412,44,Female,White or Caucasian,6.0,4.0,2.625,5,Yes,Yes,1_26,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0
33,8,1.235294118,26,Non-binary / third gender,Other,5.0,2.0,3.75,6,No,No,1_105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
33,84,1.176470588,26,Non-binary / third gender,Other,5.0,2.0,3.75,10,No,No,1_66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
34,97,1.0,28,Female,American Indian/Native American or Alaska Native,3.0,2.0,1.75,6,Yes,No,1_78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,120,4.0,24,Non-binary / third gender,White or Caucasian,4.0,3.0,2.875,9,No,Yes,1_99,3.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0
37,111,3.0,39,Female,White or Caucasian,5.0,2.0,3.125,9,Yes,Yes,1_90,3.0,3.0,1.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,6.0,5.0,3.0,1.0
39,72,1.823529412,28,Female,White or Caucasian,6.0,4.0,2.375,4,Yes,Yes,1_55,3.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0
40,97,4.470588235,57,Female,White or Caucasian,5.0,3.0,3.625,9,Yes,Yes,1_78,5.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
46,80,1.294117647,23,Non-binary / third gender,White or Caucasian,3.0,2.0,1.5,8,No,Yes,1_62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
48,72,1.0,23,Female,White or Caucasian,5.0,6.0,3.125,5,Yes,Yes,1_55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,97,1.647058824,23,Female,White or Caucasian,5.0,6.0,3.125,6,Yes,Yes,1_78,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,3.0
48,111,1.470588235,23,Female,White or Caucasian,5.0,6.0,3.125,7,Yes,Yes,1_90,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
49,84,3.0,28,Female,White or Caucasian,3.0,2.0,1.625,6,Yes,Yes,1_66,6.0,7.0,5.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0
50,97,5.764705882,22,Male,Asian,3.0,4.0,2.5,7,No,No,1_78,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,4.0,7.0,7.0,1.0,7.0,7.0,4.0
51,72,2.411764706,29,Female,White or Caucasian,6.0,3.0,1.875,1,Yes,Yes,1_55,1.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
52,75,3.941176471,33,Female,White or Caucasian,6.0,4.0,2.75,4,Yes,Yes,1_58,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0
53,72,2.705882353,43,Female,White or Caucasian,3.0,6.0,1.875,4,Yes,Yes,1_55,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,4.0,1.0,7.0,6.0,2.0,6.0
54,40,2.411764706,28,Female,White or Caucasian,5.0,5.0,2.875,2,Yes,Yes,1_26,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,5.0,2.0,1.0,1.0,3.0,3.0
54,80,5.764705882,28,Female,White or Caucasian,5.0,5.0,2.875,9,Yes,Yes,1_62,7.0,7.0,4.0,7.0,7.0,5.0,7.0,7.0,7.0,5.0,5.0,7.0,6.0,4.0,5.0,3.0,5.0
54,111,3.764705882,28,Female,White or Caucasian,5.0,5.0,2.875,10,Yes,Yes,1_90,2.0,1.0,5.0,2.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,3.0
55,120,4.823529412,26,Non-binary / third gender,"White or Caucasian,American Indian/Native American or Alaska Native",4.0,1.0,3.0,10,No,No,1_99,5.0,5.0,1.0,5.0,5.0,5.0,7.0,5.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0
56,89,4.058823529,42,Male,Black or African American,5.0,3.0,3.25,8,No,No,1_70,4.0,2.0,2.0,3.0,6.0,2.0,3.0,4.0,3.0,3.0,4.0,6.0,6.0,6.0,4.0,6.0,5.0
57,120,1.0,43,Male,White or Caucasian,2.0,1.0,2.125,7,No,Yes,1_99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,72,1.0,55,Male,White or Caucasian,3.0,6.0,3.875,4,No,Yes,1_55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,97,2.176470588,55,Male,White or Caucasian,3.0,6.0,3.875,7,No,Yes,1_78,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0
59,80,5.176470588,32,Male,White or Caucasian,4.0,1.0,2.125,6,No,Yes,1_62,7.0,7.0,2.0,7.0,7.0,5.0,7.0,7.0,1.0,1.0,7.0,7.0,5.0,5.0,5.0,3.0,5.0
61,75,4.0,58,Male,White or Caucasian,5.0,1.0,1.5,3,No,Yes,1_58,5.0,6.0,1.0,4.0,7.0,5.0,5.0,4.0,2.0,2.0,2.0,6.0,6.0,1.0,7.0,4.0,1.0
63,40,3.117647059,47,Male,White or Caucasian,3.0,2.0,2.75,4,No,Yes,1_26,2.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0
65,40,1.294117647,32,Male,Other,5.0,4.0,2.875,3,No,No,1_26,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,75,4.117647059,22,Male,Black or African American,2.0,3.0,4.5,2,No,No,1_58,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0
68,80,4.705882353,67,Female,White or Caucasian,3.0,2.0,1.625,6,Yes,Yes,1_62,3.0,4.0,4.0,5.0,3.0,4.0,6.0,7.0,6.0,4.0,6.0,2.0,5.0,5.0,7.0,4.0,5.0
68,8,5.647058824,67,Female,White or Caucasian,3.0,2.0,1.625,7,Yes,Yes,1_105,6.0,5.0,3.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0
70,47,5.823529412,53,Male,White or Caucasian,3.0,3.0,2.875,4,No,Yes,1_32,6.0,7.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0
70,84,3.588235294,53,Male,White or Caucasian,3.0,3.0,2.875,8,No,Yes,1_66,3.0,4.0,1.0,5.0,3.0,3.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,1.0,6.0,3.0,1.0
71,120,4.0,51,Female,White or Caucasian,5.0,2.0,2.125,8,Yes,Yes,1_99,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
74,120,2.176470588,61,Male,White or Caucasian,3.0,3.0,2.75,8,No,Yes,1_99,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0
76,47,4.470588235,40,Male,Other,5.0,3.0,2.625,5,No,No,1_32,6.0,5.0,1.0,6.0,6.0,5.0,5.0,5.0,6.0,1.0,6.0,5.0,1.0,6.0,3.0,4.0,5.0
76,8,1.0,40,Male,Other,5.0,3.0,2.625,9,No,No,1_105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,84,1.470588235,40,Male,Other,5.0,3.0,2.625,10,No,No,1_66,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
77,75,3.882352941,39,Male,White or Caucasian,5.0,2.0,2.0,5,No,Yes,1_58,1.0,7.0,1.0,1.0,5.0,1.0,7.0,6.0,7.0,5.0,3.0,5.0,4.0,1.0,6.0,5.0,1.0
77,89,4.294117647,39,Male,White or Caucasian,5.0,2.0,2.0,10,No,Yes,1_70,7.0,7.0,3.0,1.0,7.0,4.0,1.0,1.0,7.0,7.0,2.0,5.0,6.0,1.0,7.0,6.0,1.0
78,80,5.411764706,52,Male,White or Caucasian,3.0,2.0,2.875,8,No,Yes,1_62,7.0,6.0,2.0,7.0,6.0,5.0,7.0,6.0,2.0,1.0,7.0,6.0,5.0,7.0,7.0,6.0,5.0
79,47,3.764705882,32,Male,Other,5.0,2.0,3.125,1,No,No,1_32,5.0,6.0,1.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,3.0,5.0
80,72,1.941176471,30,Male,White or Caucasian,4.0,3.0,2.0,3,No,Yes,1_55,1.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
81,72,1.0,25,Male,Black or African American,4.0,,1.375,5,No,No,1_55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,40,4.0,73,Female,White or Caucasian,5.0,2.0,2.625,4,Yes,Yes,1_26,6.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
83,8,4.823529412,61,Female,Black or African American,3.0,1.0,2.375,9,Yes,No,1_105,5.0,5.0,5.0,5.0,6.0,3.0,6.0,5.0,3.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0
84,120,4.235294118,24,Male,White or Caucasian,5.0,3.0,3.625,9,No,Yes,1_99,2.0,4.0,5.0,5.0,2.0,4.0,5.0,6.0,5.0,4.0,2.0,5.0,4.0,6.0,5.0,5.0,3.0
86,40,2.882352941,23,Male,Black or African American,5.0,3.0,2.5,4,No,No,1_26,1.0,1.0,1.0,7.0,7.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0
87,89,1.764705882,28,Male,White or Caucasian,6.0,5.0,3.75,8,No,Yes,1_70,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0
